1620
ZNF729	ZNF729	MissingGeneType
ZNF98	ZNF98	MissingGeneType
LOC440518	LOC440518	MissingGeneType
ZNF492	ZNF492	MissingGeneType
ZNF99	ZNF99	MissingGeneType
ZNF724P	ZNF724P	MissingGeneType
ZNF91	ZNF91	MissingGeneType
ZNF675	ZNF675	MissingGeneType
ZNF681	ZNF681	MissingGeneType
RPSAP58	RPSAP58	MissingGeneType
ZNF726	ZNF726	MissingGeneType
ZNF254	ZNF254	MissingGeneType
LOC100101266	LOC100101266	MissingGeneType
LOC148189	LOC148189	MissingGeneType
LOC148145	LOC148145	MissingGeneType
LOC100505835	LOC100505835	MissingGeneType
UQCRFS1	UQCRFS1	MissingGeneType
LOC284395	LOC284395	MissingGeneType
VSTM2B	VSTM2B	MissingGeneType
POP4	POP4	MissingGeneType
PLEKHF1	PLEKHF1	MissingGeneType
C19orf12	C19orf12	MissingGeneType
CCNE1	CCNE1	MissingGeneType
URI1	URI1	MissingGeneType
ZNF536	ZNF536	MissingGeneType
DKFZp566F0947	DKFZp566F0947	MissingGeneType
TSHZ3	TSHZ3	MissingGeneType
THEG5	THEG5	MissingGeneType
ZNF507	ZNF507	MissingGeneType
LOC400684	LOC400684	MissingGeneType
DPY19L3	DPY19L3	MissingGeneType
PDCD5	PDCD5	MissingGeneType
ANKRD27	ANKRD27	MissingGeneType
RGS9BP	RGS9BP	MissingGeneType
NUDT19	NUDT19	MissingGeneType
TDRD12	TDRD12	MissingGeneType
SLC7A9	SLC7A9	MissingGeneType
CEP89	CEP89	MissingGeneType
C19orf40	C19orf40	MissingGeneType
RHPN2	RHPN2	MissingGeneType
GPATCH1	GPATCH1	MissingGeneType
WDR88	WDR88	MissingGeneType
LRP3	LRP3	MissingGeneType
SLC7A10	SLC7A10	MissingGeneType
CEBPA	CEBPA	MissingGeneType
LOC80054	LOC80054	MissingGeneType
CEBPG	CEBPG	MissingGeneType
PEPD	PEPD	MissingGeneType
CHST8	CHST8	MissingGeneType
KCTD15	KCTD15	MissingGeneType
LSM14A	LSM14A	MissingGeneType
